District,rep_party_2012,GOP2012_percent,DEM2012_percent,GOP_margin_2012,winning_party_2012,rep_party_2014,GOP2014_percent,DEM2014_percent,GOP_margin_2014,open_seat_2014,winning_party_2014,rep_party_2016,GOP2016_percent,DEM2016_percent,GOP_margin_2016,winning_party_2016,rep_party_2018,GOP2018_percent,DEM2018_percent,GOP_margin_2018,winning_party_2018,COOK_PVI,Pct_white,Pct_black,Pct_latino,Pct_asian_and_pacific_islander,Pct_native_american,Pct_other_race,Percent_bach_degree ,Percent_whiteBA,median_income,Percent_noncollege_white,PRES_GOP_MARGIN_2016,PRES_GOP_MARGIN_2012,PRES_GOP_MARGIN_2008,CITYLAB_CDI
AKAL,R,69.1,30.9,38.2,R,R,51,41,10,,R,R,50.3,36,14.3,R,GOP,54,46,8,R,9,67.9,3.1,5.4,5,13,5.6,29.6,36.7,76440,42.9,15.17,14.12,21.65,Pure rural
AL1,D,100,0,100,R,R,68.2,31.7,36.5,,R,R,96.4,0,96.4,R,GOP,63.3,36.7,26.6,R,15,68.7,26.5,1.8,0.9,1,1.1,24,27.7,47083,49.6,29.42,24.45,22.48,Rural-suburban mix
AL2,R,63.7,36.3,27.4,R,R,67.3,32.6,34.7,,R,R,48.8,40.5,8.3,R,GOP,61.5,38.5,23,R,16,66.1,29.9,1.8,0.7,0.4,1.1,21.8,24.2,42035,50.1,31.93,26.47,29.46,Pure rural
AL3,R,64.1,35.9,28.2,R,R,66.1,33.7,32.4,,R,R,66.9,32.9,34,R,GOP,63.8,36.2,27.6,R,16,71.4,25.1,1.7,0.7,0.3,0.9,22.8,23.7,46544,54.4,32.96,25.48,25.97,Pure rural
AL4,R,74.1,25.9,48.2,R,R,98.6,0,98.6,,R,R,98.5,0,98.5,R,GOP,79.9,20.1,59.8,R,30,88.8,6.9,1.8,0.5,0.7,1.3,17,17.8,41110,73,62.92,50.86,47.77,Pure rural
AL5,R,65,35,30,R,R,74.4,0,74.4,,R,R,66.7,33.2,33.5,R,GOP,61.1,38.9,22.2,R,18,77.3,17.1,2.2,1.1,0.6,1.6,30.3,31,51690,53.3,33.37,29.02,26.23,Rural-suburban mix
AL6,D,71.3,28.7,42.6,R,R,76.2,23.7,52.5,,R,R,74.5,25.4,49.1,R,GOP,69.3,30.7,38.6,R,26,81.8,14.4,1.6,1,0.2,0.9,36.7,38.2,61413,50.5,44.68,49.64,49.1,Rural-suburban mix
AL7,D,24.1,75.9,-51.8,D,D,0,98.4,-98.4,,D,D,0,98.4,-98.4,D,DEM,0,100,-100,D,20,35.6,62.1,1.1,0.4,0.1,0.8,19.4,28.5,34664,25.4,-41.15,-45.29,-43.35,Rural-suburban mix
AR1,R,59,41,18,R,R,63.3,32.4,30.9,,R,R,76.3,0,76.3,R,GOP,71.3,28.7,42.6,R,17,79.6,16.9,1.8,0.3,0.4,1.1,16.5,17.6,40492,65.6,34.81,24.64,18.79,Pure rural
AR2,R,58.3,41.7,16.6,R,Open-Used to be GOP,51.9,43.6,8.3,,R,R,58.3,36.8,21.5,R,GOP,54.2,45.8,8.4,R,7,73.7,21.2,2.4,1,0.3,1.4,30,32.5,49498,49.7,10.72,11.83,9.49,Rural-suburban mix
AR3,R,100,0,100,R,R,79.4,0,79.4,,R,R,77.3,0,77.3,R,GOP,67.5,32.5,35,R,19,86.2,2.9,5.9,1.9,1.1,2,26.9,28.8,47903,61.3,31.43,33.88,29.99,Rural-suburban mix
AR4,Open Post-Redistrict,61.9,38.1,23.8,R,Open-Used to be GOP,53.7,42.6,11.1,,R,R,74.9,0,74.9,R,GOP,68.7,31.3,37.4,R,17,76.5,19.1,2.2,0.4,0.6,1.2,15.8,17,39586,63.4,32.83,25.95,22.54,Pure rural
AZ1,Open Post-Redistrict,48.1,51.9,-3.8,D,D,47.4,52.6,-5.2,,D,Open-Used to be Dem,43.4,50.7,-7.3,D,DEM,46.2,53.8,-7.6,D,2,56.1,2.2,17.1,1.3,21.8,1.6,24.5,34.2,50537,36.8,1.07,2.52,3.16,Pure rural
AZ2,D,49.6,50.4,-0.8,D,D,50,49.9,0.1,,R,R,57,43,14,R,DEM,45.6,54.4,-8.8,D,1,70,3.6,21.1,2.5,0.9,1.8,34,38.8,49072,42.8,-4.9,1.56,0.93,Dense suburban
AZ3,D,38.9,61.1,-22.2,D,D,44.2,55.7,-11.5,,D,D,0,88.1,-88.1,D,DEM,36.6,63.4,-26.8,D,-13,37.5,5,51.1,1.7,3.5,1.3,16.5,26.9,44224,27.3,-29.92,-24.5,-17.45,Dense suburban
AZ4,R,70.2,29.8,40.4,R,R,70,25.8,44.2,,R,R,71.5,28.5,43,R,GOP,69.5,30.5,39,R,21,81.8,1.7,12.6,1.1,1.5,1.4,19.2,20.5,49466,64.9,40.15,36.18,29.8,Rural-suburban mix
AZ5,Open Post-Redistrict,67.2,32.8,34.4,R,R,69.6,30.4,39.2,,R,Open-Used to be GOP,64.1,35.9,28.2,R,GOP,59.4,40.6,18.8,R,15,78,2.9,13.3,3.7,0.8,1.4,36,37.5,71693,48.7,21.12,29.21,26.35,Dense suburban
AZ6,R,64.8,35.2,29.6,R,R,64.9,35.1,29.8,,R,R,62.1,37.9,24.2,R,GOP,55.3,44.7,10.6,R,9,81.4,2.5,10.3,3,1.4,1.4,45.4,48.5,67830,41.9,9.98,20.7,16.53,Dense suburban
AZ7,D,0,100,-100,D,Open-Used to be Dem,0,74.9,-74.9,,D,D,24.7,75.2,-50.5,D,DEM,14.3,85.7,-71.4,D,-23,33.9,12.1,47.1,2.5,2.9,1.4,14,26.5,40991,24.9,-49.1,-45.19,-30.63,Urban-suburban mix
AZ8,R,64.4,35.6,28.8,R,R,75.8,0,75.8,,R,R,68.5,0,68.5,R,GOP,55.6,44.4,11.2,R,13,76.2,4.2,14.6,2.7,0.7,1.5,29.4,31.3,61754,52.3,21.13,24.81,22.18,Dense suburban
AZ9,Open Post-Redistrict,47.8,52.2,-4.4,D,D,41.9,54.7,-12.8,,D,D,39,60.9,-21.9,D,DEM,39.1,60.9,-21.8,D,-4,67.9,5.3,18.7,3.6,2.7,1.9,37.5,44.7,55349,37.4,-16.22,-4.53,-3.89,Urban-suburban mix
CA1,Open Post-Redistrict,57.4,42.6,14.8,R,R,61,39,22,,R,R,59.1,40.9,18.2,R,GOP,55.4,44.6,10.8,R,11,82.7,1.5,9.4,2.2,1.5,2.7,23.7,25.7,47488,61.4,19.63,16.29,11.2,Rural-suburban mix
CA10,R,52.7,47.3,5.4,R,R,56.1,43.9,12.2,,R,R,51.7,48.3,3.4,R,DEM,48.7,51.3,-2.6,D,0,55.6,3.5,30.8,6.8,0.5,2.8,16.6,21,60235,43.8,-3,-3.61,-2.7,Dense suburban
CA11,D,30.3,69.7,-39.4,D,Open-Used to be Dem,32.7,67.3,-34.6,,D,D,27.9,72.1,-44.2,D,DEM,26.8,73.2,-46.4,D,-21,57.6,9.5,16,13.3,0.3,3.4,43.6,56.5,86000,25,-48.85,-37.68,-40.4,Urban-suburban mix
CA12,D,14.9,85.1,-70.2,D,D,16.7,83.3,-66.6,,D,D,0,80.9,-80.9,D,DEM,13.2,86.8,-73.6,D,-37,49.5,5.7,11,30.7,0.2,3,59.5,78.1,105918,10.8,-77.5,-71.62,-71,Pure urban
CA13,D,0,100,-100,D,D,11.5,88.5,-77,,D,D,9.2,90.8,-81.6,D,DEM,11.6,88.4,-76.8,D,-40,42,19.8,13.6,20.2,0.4,3.9,47.2,70.8,73601,12.2,-80.55,-78.55,-77.2,Pure urban
CA14,D,21.1,78.9,-57.8,D,D,23.3,76.7,-53.4,,D,D,19.1,80.9,-61.8,D,DEM,22.5,77.5,-55,D,-27,42.9,3.6,17.3,33.2,0.2,2.7,47.5,56.9,103850,18.4,-58.7,-50.67,-49.8,Urban-suburban mix
CA15,Open Post-Redistrict,0,100,-100,D,D,30.2,69.8,-39.6,,D,D,26.2,73.8,-47.6,D,DEM,27.5,72.5,-45,D,-20,43.9,7,17.1,28.7,0.3,3,45,47.1,106291,23.2,-45.74,-38.18,-36.9,Urban-suburban mix
CA16,D,42.6,57.4,-14.8,D,D,49.3,50.7,-1.4,,D,D,42,58,-16,D,DEM,45.5,54.5,-9,D,-9,34.6,7.6,46.1,9.3,0.6,1.8,12.2,21.3,40207,27.1,-21.59,-19.19,-17.2,Dense suburban
CA17,D,26.5,73.5,-47,D,D,0,100,-100,,D,Open-Used to be Dem,0,100,-100,D,DEM,24.9,75.1,-50.2,D,-25,34.5,3.1,14.2,45.4,0.3,2.5,57,54.4,121150,15.7,-53.43,-46.39,-41,Pure urban
CA18,D,29.5,70.5,-41,D,D,32.2,67.8,-35.6,,D,D,28.9,71.1,-42.2,D,DEM,26.3,73.7,-47.4,D,-23,65.2,2,11.7,18.3,0.2,2.6,61.5,65.1,125790,22.7,-53.17,-39.31,-42.9,Urban-suburban mix
CA19,D,26.8,73.2,-46.4,D,D,0,100,-100,,D,D,26.1,73.9,-47.8,D,DEM,26.6,73.4,-46.8,D,-24,34.2,3.4,30.9,28.7,0.3,2.5,35.5,48.8,93139,17.5,-51.41,-44.69,-38.7,Urban-suburban mix
CA2,Open Post-Redistrict,28.8,71.2,-42.4,D,D,25,75,-50,,D,D,23.1,76.9,-53.8,D,DEM,23.9,76.1,-52.2,D,-22,80.6,1.6,9.7,3.4,1.8,2.9,40.8,45.9,66604,43.5,-45.69,-42.08,-46,Rural-suburban mix
CA20,D,25.9,74.1,-48.2,D,D,0,75.2,-75.2,,D,Open-Used to be Dem,29.2,70.8,-41.6,D,DEM,20.3,79.7,-59.4,D,-23,54.5,2.6,33.8,6,0.3,2.7,27.9,43.5,67419,30.7,-47.13,-44.7,-45.8,Urban-suburban mix
CA21,Open Post-Redistrict,57.8,42.2,15.6,R,R,57.8,42.2,15.6,,R,R,56.7,43.3,13.4,R,DEM,51.5,48.5,3,D,-5,29.1,6.3,58.7,3.8,0.7,1.5,7.9,19.5,41174,23.3,-15.58,-11.1,-5.8,Rural-suburban mix
CA22,R,61.9,38.1,23.8,R,R,72,28,44,,R,R,67.6,32.4,35.2,R,GOP,55.1,44.9,10.2,R,8,51.7,3.2,35.6,7.1,0.5,1.8,24.1,31.6,56524,35.3,9.49,15.01,13,Dense suburban
CA23,R,100,0,100,R,R,74.8,25.2,49.6,,R,R,69.2,30.8,38.4,R,GOP,65.1,34.9,30.2,R,14,57.1,6.6,29.1,4.4,0.7,2.1,20.8,24.6,54437,42.9,22.07,25.38,24.7,Dense suburban
